scenario,probability,revenue_growth,operating_margin,net_interest_income_m,tax_rate,diluted_shares_m,pe_multiple,starting_fcf_m,fcf_growth,discount_rate,terminal_growth,thesis
Bear,0.25,-0.02,0.055,10,0.26,375,7.5,480,0.00,0.115,0.01,Consumer weakness tariffs and promotions compress earnings
Base,0.50,0.015,0.074,25,0.25,373,9.5,650,0.02,0.105,0.02,Management guidance is substantially achieved
Bull,0.25,0.04,0.082,30,0.245,370,11.0,800,0.04,0.095,0.025,Broad brand recovery and margin expansion earn a rerating

